dorsal	mu_p	mu_b	total	name	label
1262	4331	1482	5813	MEBB	3
1263	4376	1475	5851	MEBB	3
1265	4319	1502	5821	MEBB	3
1270	4291	1678	5969	MEBB	3
1274	4316	1481	5797	MEBB	3
1286	4385	1474	5859	MEBB	3
1287	4426	1585	6011	MEBB	3
1288	4340	1662	6002	MEBB	3
1292	4299	1665	5964	MEBB	3
1294	4442	1462	5904	MEBB	3
1300	4427	1443	5870	MEBB	3
1307	4339	1507	5846	MEBB	3
1310	4403	1537	5940	MEBB	3
1315	4355	1491	5846	MEBB	3
1317	4346	1661	6007	MEBB	3
1324	4372	1577	5949	MEBB	3
1328	4325	1531	5856	MEBB	3
1332	4405	1657	6062	MEBB	3
1333	4419	1507	5926	MEBB	3
1338	4403	1455	5858	MEBB	3
1343	4487	1671	6158	MEBB	3
1344	4364	1469	5833	MEBB	3
1351	4351	1604	5955	MEBB	3
1362	4442	1661	6103	MEBB	3
1365	4486	1533	6019	MEBB	3
1368	4507	1641	6148	MEBB	3
1382	4417	1622	6039	MEBB	3
1386	4301	1557	5858	MEBB	3
1391	4284	1645	5929	MEBB	3
1392	4392	1604	5996	MEBB	3
1398	4453	1572	6025	MEBB	3
1399	4315	1604	5919	MEBB	3
1407	4369	1575	5944	MEBB	3
1410	4408	1584	5992	MEBB	3
1420	4446	1538	5984	MEBB	3
1432	4368	1528	5896	MEBB	3
1437	4501	1565	6066	MEBB	3
1439	4311	1592	5903	MEBB	3
1440	4301	1483	5784	MEBB	3
1448	4383	1462	5845	MEBB	3
1456	4409	1636	6045	MEBB	3
1458	4436	1642	6078	MEBB	3
1462	4383	1508	5891	MEBB	3
1464	4503	1473	5976	MEBB	3
1465	4362	1646	6008	MEBB	3
1466	4307	1581	5888	MEBB	3
1469	4402	1489	5891	MEBB	3
1472	4340	1444	5784	MEBB	3
1474	4455	1511	5966	MEBB	3
1476	4485	1584	6069	MEBB	3
1486	4362	1578	5940	MEBB	3
1494	4356	1491	5847	MEBB	3
1496	4293	1509	5802	MEBB	3
1497	4335	1481	5816	MEBB	3
1499	4341	1643	5984	MEBB	3
1501	4428	1482	5910	MEBB	3
1502	4430	1539	5969	MEBB	3
1504	4373	1538	5911	MEBB	3
1507	4397	1470	5867	MEBB	3
1509	4382	1458	5840	MEBB	3
1514	4292	1512	5804	MEBB	3
1515	4436	1442	5878	MEBB	3
1520	4497	1651	6148	MEBB	3
1522	4370	1473	5843	MEBB	3
1523	4403	1486	5889	MEBB	3
1526	4358	1638	5996	MEBB	3
1527	4361	1634	5995	MEBB	3
1532	4489	1466	5955	MEBB	3
1533	4290	1512	5802	MEBB	3
1537	4336	1610	5946	MEBB	3
1542	4337	1607	5944	MEBB	3
1547	4400	1506	5906	MEBB	3
1549	4401	1582	5983	MEBB	3
1553	4350	1552	5902	MEBB	3
1557	4278	1542	5820	MEBB	3
1559	4496	1582	6078	MEBB	3
1573	4475	1473	5948	MEBB	3
1574	4307	1660	5967	MEBB	3
1581	4503	1531	6034	MEBB	3
1584	4441	1569	6010	MEBB	3
1585	4338	1649	5987	MEBB	3
1590	4280	1583	5863	MEBB	3
1598	4352	1649	6001	MEBB	3
1603	4438	1462	5900	MEBB	3
1606	4463	1619	6082	MEBB	3
1608	4415	1556	5971	MEBB	3
1611	4467	1495	5962	MEBB	3
1617	4287	1529	5816	MEBB	3
1618	4458	1562	6020	MEBB	3
1624	4449	1645	6094	MEBB	3
1625	4441	1557	5998	MEBB	3
1627	4402	1523	5925	MEBB	3
1633	4364	1598	5962	MEBB	3
1636	4361	1663	6024	MEBB	3
1643	4388	1614	6002	MEBB	3
1645	4399	1655	6054	MEBB	3
1647	4302	1597	5899	MEBB	3
1648	4445	1504	5949	MEBB	3
1649	4271	1500	5771	MEBB	3
1652	4487	1669	6156	MEBB	3
1662	4446	1620	6066	MEBB	3
1664	4367	1450	5817	MEBB	3
1668	4456	1587	6043	MEBB	3
1670	4287	1565	5852	MEBB	3
1672	4434	1464	5898	MEBB	3
1681	4472	1579	6051	MEBB	3
1690	4497	1590	6087	MEBB	3
1692	4354	1528	5882	MEBB	3
1693	4444	1550	5994	MEBB	3
1695	4407	1519	5926	MEBB	3
1705	4317	1622	5939	MEBB	3
1708	4352	1634	5986	MEBB	3
1713	4311	1445	5756	MEBB	3
1715	4480	1453	5933	MEBB	3
1718	4345	1649	5994	MEBB	3
1720	4311	1612	5923	MEBB	3
1723	4379	1510	5889	MEBB	3
1725	4295	1557	5852	MEBB	3
1731	4361	1529	5890	MEBB	3
1734	4335	1510	5845	MEBB	3
1735	4287	1565	5852	MEBB	3
1736	4461	1599	6060	MEBB	3
1738	4349	1569	5918	MEBB	3
1748	4375	1493	5868	MEBB	3
1752	4376	1459	5835	MEBB	3
1756	4318	1543	5861	MEBB	3
1758	4424	1604	6028	MEBB	3
1762	4475	1504	5979	MEBB	3
1782	4306	1605	5911	MEBB	3
1783	4445	1654	6099	MEBB	3
1788	4493	1631	6124	MEBB	3
1794	4387	1578	5965	MEBB	3
1796	4430	1518	5948	MEBB	3
1802	4427	1566	5993	MEBB	3
1809	4274	1619	5893	MEBB	3
1823	4294	1486	5780	MEBB	3
1832	4369	1541	5910	MEBB	3
1833	4326	1498	5824	MEBB	3
1836	4385	1493	5878	MEBB	3
1838	4475	1557	6032	MEBB	3
1840	4321	1503	5824	MEBB	3
1841	4302	1460	5762	MEBB	3
1844	4339	1603	5942	MEBB	3
1845	4475	1649	6124	MEBB	3
1846	4415	1596	6011	MEBB	3
1855	4448	1475	5923	MEBB	3
1861	4353	1536	5889	MEBB	3
1862	4489	1673	6162	MEBB	3
1869	4300	1476	5776	MEBB	3
1870	4507	1515	6022	MEBB	3
1875	4432	1664	6096	MEBB	3
1878	4282	1604	5886	MEBB	3
1883	4326	1675	6001	MEBB	3
1890	4325	1596	5921	MEBB	3
1893	4494	1444	5938	MEBB	3
1900	4404	1608	6012	MEBB	3
1903	4344	1501	5845	MEBB	3
1909	4341	1478	5819	MEBB	3
1912	4355	1605	5960	MEBB	3
1915	4478	1579	6057	MEBB	3
1916	4346	1482	5828	MEBB	3
1918	4270	1602	5872	MEBB	3
1925	4288	1541	5829	MEBB	3
1926	4331	1647	5978	MEBB	3
1928	4343	1578	5921	MEBB	3
1929	4459	1486	5945	MEBB	3
1930	4401	1650	6051	MEBB	3
1933	4430	1581	6011	MEBB	3
1935	4421	1638	6059	MEBB	3
1936	4507	1516	6023	MEBB	3
1937	4426	1444	5870	MEBB	3
1939	4282	1629	5911	MEBB	3
1944	4269	1673	5942	MEBB	3
1945	4498	1571	6069	MEBB	3
1946	4400	1648	6048	MEBB	3
1951	4415	1534	5949	MEBB	3
1953	4379	1536	5915	MEBB	3
1954	4291	1640	5931	MEBB	3
1956	4395	1519	5914	MEBB	3
1958	4430	1488	5918	MEBB	3
1961	4348	1560	5908	MEBB	3
1971	4357	1498	5855	MEBB	3
1973	4334	1443	5777	MEBB	3
1980	4329	1549	5878	MEBB	3
1982	4277	1596	5873	MEBB	3
1986	4311	1573	5884	MEBB	3
1987	4481	1473	5954	MEBB	3
1988	4335	1576	5911	MEBB	3
1989	4407	1473	5880	MEBB	3
1993	4392	1467	5859	MEBB	3
1998	4338	1496	5834	MEBB	3
