dorsal	mu_p	mu_b	total	name	label
1873	4384	2270	6654	MEMB	1
1879	4352	2382	6734	MEMB	1
1880	4378	2397	6775	MEMB	1
1881	4388	2216	6604	MEMB	1
1882	4417	2212	6629	MEMB	1
1891	4327	2370	6697	MEMB	1
1897	4378	2266	6644	MEMB	1
1902	4312	2261	6573	MEMB	1
1904	4446	2276	6722	MEMB	1
1905	4370	2276	6646	MEMB	1
1913	4364	2396	6760	MEMB	1
1914	4417	2302	6719	MEMB	1
1920	4501	2162	6663	MEMB	1
1922	4374	2214	6588	MEMB	1
1923	4297	2185	6482	MEMB	1
1931	4366	2192	6558	MEMB	1
1932	4456	2353	6809	MEMB	1
1934	4304	2369	6673	MEMB	1
1940	4354	2177	6531	MEMB	1
1942	4326	2300	6626	MEMB	1
1949	4371	2399	6770	MEMB	1
1950	4498	2311	6809	MEMB	1
1965	4417	2368	6785	MEMB	1
1976	4420	2353	6773	MEMB	1
1990	4305	2251	6556	MEMB	1
1994	4481	2309	6790	MEMB	1
1995	4341	2276	6617	MEMB	1
1997	4351	2170	6521	MEMB	1
